genre,period,vocab_size,alignment_type,aligned_words,coverage
poetry,classical,1633,poetry_diachronic,624,1.0
poetry,classical,1633,classical_synchronic,309,1.0
poetry,classical,1633,universal,61,1.0
history,classical,4580,history_diachronic,1130,1.0
history,classical,4580,classical_synchronic,309,1.0
history,classical,4580,universal,61,1.0
oratory,classical,921,oratory_diachronic,477,1.0
oratory,classical,921,classical_synchronic,309,1.0
oratory,classical,921,universal,61,1.0
philosophy,classical,992,philosophy_diachronic,552,1.0
philosophy,classical,992,classical_synchronic,309,1.0
philosophy,classical,992,universal,61,1.0
poetry,imperial,2198,poetry_diachronic,624,1.0
poetry,imperial,2198,imperial_synchronic,86,1.0
poetry,imperial,2198,universal,61,1.0
history,imperial,2625,history_diachronic,1130,1.0
history,imperial,2625,imperial_synchronic,86,1.0
history,imperial,2625,universal,61,1.0
oratory,imperial,2561,oratory_diachronic,477,1.0
oratory,imperial,2561,imperial_synchronic,86,1.0
oratory,imperial,2561,universal,61,1.0
philosophy,imperial,1266,philosophy_diachronic,552,1.0
philosophy,imperial,1266,imperial_synchronic,86,1.0
philosophy,imperial,1266,universal,61,1.0
novel,imperial,582,imperial_synchronic,86,1.0
novel,imperial,582,universal,61,1.0
treatise,imperial,430,imperial_synchronic,86,1.0
treatise,imperial,430,universal,61,1.0
theology,imperial,2405,theology_diachronic,796,1.0
theology,imperial,2405,imperial_synchronic,86,1.0
theology,imperial,2405,universal,61,1.0
poetry,late,6725,poetry_diachronic,624,1.0
poetry,late,6725,late_synchronic,193,1.0
poetry,late,6725,universal,61,1.0
history,late,3527,history_diachronic,1130,1.0
history,late,3527,late_synchronic,193,1.0
history,late,3527,universal,61,1.0
theology,late,6565,theology_diachronic,796,1.0
theology,late,6565,late_synchronic,193,1.0
theology,late,6565,universal,61,1.0
letter,late,772,late_synchronic,193,1.0
letter,late,772,universal,61,1.0
